time,x,y,z,vx,vy,vz
2850.0,-6.729880452838767e6,-623283.7400971758,0.0,708.2650859789472,-7657.9499672139855,0.0
2860.0,-6.722362892228496e6,-699821.2965227604,0.0,795.2307703305711,-7649.396395374326,0.0
2870.0,-6.713976181565446e6,-776268.3714209073,0.0,882.0932157585485,-7639.853859138752,0.0
2880.0,-6.704721409639221e6,-852615.0812858314,0.0,968.8411446041791,-7629.323607709443,0.0
2890.0,-6.694599777941065e6,-928851.5557505038,0.0,1055.463294448156,-7617.807019605358,0.0
2900.0,-6.683612600503972e6,-1.0049679388788872e6,0.0,1141.9484196095636,-7605.3056024728585,0.0
2910.0,-6.671761303727815e6,-1.0809543904561896e6,0.0,1228.285292642437,-7591.820992878596,0.0
2920.0,-6.659047426189528e6,-1.1568010872769577e6,0.0,1314.4627058296603,-7577.354956084684,0.0
2930.0,-6.6454726184383575e6,-1.232498224430833e6,0.0,1400.4694726739897,-7561.909385806198,0.0
2940.0,-6.631038642776221e6,-1.3080360165857964e6,0.0,1486.2944293859828,-7545.486303951047,0.0
2950.0,-6.615747373023205e6,-1.3834046992687222e6,0.0,1571.9264363686175,-7528.087860342258,0.0
2960.0,-6.599600794268232e6,-1.4585945301430677e6,0.0,1657.3543796983845,-7509.716332422702,0.0
2970.0,-6.582601002604932e6,-1.5335957902835219e6,0.0,1742.567172602639,-7490.374124942337,0.0
2980.0,-6.564750204852769e6,-1.6083987854474403e6,0.0,1827.5537569329952,-7470.063769627996,0.0
2990.0,-6.546050718263445e6,-1.6829938473428902e6,0.0,1912.303104634553,-7448.787924835782,0.0
3000.0,-6.526504970212639e6,-1.7573713348931328e6,0.0,1996.8042192107403,-7426.549375186127,0.0
3010.0,-6.506115497877116e6,-1.8315216354973696e6,0.0,2081.0461371835613,-7403.351031181573,0.0
3020.0,-6.484884947897264e6,-1.9054351662875812e6,0.0,2165.017929549038,-7379.195928807334,0.0
3030.0,-6.462816076025092e6,-1.979102375381285e6,0.0,2248.708703227636,-7354.08722911471,0.0
3040.0,-6.439911746757762e6,-2.052513743130042e6,0.0,2332.1076025094644,-7328.028217787407,0.0
3050.0,-6.416174932956681e6,-2.125659783363541e6,0.0,2415.2038104940407,-7301.022304690854,0.0
3060.0,-6.391608715452239e6,-2.1985310446290933e6,0.0,2497.9865505244143,-7273.073023404568,0.0
3070.0,-6.366216282634224e6,-2.271118111426363e6,0.0,2580.445087615442,-7244.184030737655,0.0
3080.0,-6.340000930027987e6,-2.343411605437171e6,0.0,2662.5687298760113,-7214.359106227525,0.0
3090.0,-6.312966059856418e6,-2.415402186750205e6,0.0,2744.3468299250053,-7183.602151621891,0.0
3100.0,-6.285115180587791e6,-2.4870805550804576e6,0.0,2825.768786300807,-7151.917190344147,0.0
3110.0,-6.256451906469553e6,-2.5584374509832463e6,0.0,2906.8240448641436,-7119.30836694221,0.0
3120.0,-6.22697995704811e6,-2.629463657062631e6,0.0,2987.5021001940686,-7085.779946520906,0.0
3130.0,-6.196703156674698e6,-2.7001499991740785e6,0.0,3067.79249697688,-7051.336314157994,0.0
3140.0,-6.165625433997393e6,-2.7704873476212034e6,0.0,3147.684831387783,-7015.981974303929,0.0
3150.0,-6.1337508214393435e6,-2.8404666183464266e6,0.0,3227.1687524650956,-6979.721550165453,0.0
3160.0,-6.101083454663305e6,-2.910078774115389e6,0.0,3306.2339634768036,-6942.55978307311,0.0
3170.0,-6.067627572022538e6,-2.9793148256949615e6,0.0,3384.8702232792725,-6904.5015318328,0.0
3180.0,-6.033387513998168e6,-3.048165833024688e6,0.0,3463.0673476679226,-6865.55177206145,0.0
3190.0,-5.998367722623072e6,-3.116622906381511e6,0.0,3540.8152107196784,-6825.71559550694,0.0
3200.0,-5.962572740892389e6,-3.184677207537614e6,0.0,3618.103746127001,-6784.998209352367,0.0
3210.0,-5.926007212160731e6,-3.252319950911229e6,0.0,3694.9229485233195,-6743.404935504766,0.0
3220.0,-5.888675879526178e6,-3.3195424047102584e6,0.0,3771.2628747996705,-6700.941209868409,0.0
3230.0,-5.850583585201163e6,-3.3863358920685463e6,0.0,3847.113645412367,-6657.61258160278,0.0
3240.0,-5.811735269870312e6,-3.45269179217466e6,0.0,3922.465445681509,-6613.424712365362,0.0
3250.0,-5.772135972035357e6,-3.51860154139302e6,0.0,3997.3085270801603,-6568.383375539348,0.0
3260.0,-5.731790827347198e6,-3.584056634377233e6,0.0,4071.633208514005,-6522.494455446389,0.0
3270.0,-5.6907050679252185e6,-3.649048625175479e6,0.0,4145.429877591317,-6475.7639465445245,0.0
3280.0,-5.6488840216639545e6,-3.713569128327802e6,0.0,4218.688991883051,-6428.197952611402,0.0
3290.0,-5.6063331115272045e6,-3.7776098199551636e6,0.0,4291.401080172903,-6379.802685912923,0.0
3300.0,-5.563057854829696e6,-3.841162438840108e6,0.0,4363.556743697143,-6330.5844663574535,0.0
3310.0,-5.519063862506404e6,-3.9042187874988965e6,0.0,4435.146657374075,-6280.549720635713,0.0
3320.0,-5.474356838369627e6,-3.966770733244973e6,0.0,4506.161571022934,-6229.704981346497,0.0
3330.0,-5.4289425783539275e6,-4.0288102092436138e6,0.0,4576.592310572069,-6178.05688610836,0.0
3340.0,-5.382826969749047e6,-4.0903292155576264e6,0.0,4646.429779256242,-6125.612176657395,0.0
3350.0,-5.336015990420899e6,-4.1513198201839556e6,0.0,4715.664958802877,-6072.377697931264,0.0
3360.0,-5.288515708020759e6,-4.211774160081063e6,0.0,4784.288910607108,-6018.360397139607,0.0
3370.0,-5.240332279182757e6,-4.271684442186944e6,0.0,4852.292776895459,-5963.567322820982,0.0
3380.0,-5.191471948709799e6,-4.331042944427643e6,0.0,4919.667781878003,-5908.005623886487,0.0
3390.0,-5.141941048748013e6,-4.389842016716144e6,0.0,4986.405232888846,-5851.682548650207,0.0
3400.0,-5.091745997949858e6,-4.448074081941499e6,0.0,5052.496521514785,-5794.605443846629,0.0
3410.0,-5.040893300626007e6,-4.505731636948065e6,0.0,5117.933124711986,-5736.781753635203,0.0
3420.0,-4.989389545886112e6,-4.56280725350472e6,0.0,5182.706605910541,-5678.21901859217,0.0
3430.0,-4.937241406768603e6,-4.619293579263942e6,0.0,5246.808616106746,-5618.924874689835,0.0
3440.0,-4.884455639359607e6,-4.675183338710615e6,0.0,5310.230894942973,-5558.90705226344,0.0
3450.0,-4.831039081901148e6,-4.730469334100437e6,0.0,5372.965271774982,-5498.173374965789,0.0
3460.0,-4.776998653888724e6,-4.785144446387822e6,0.0,5435.003666726541,-5436.731758709786,0.0
3470.0,-4.722341355158409e6,-4.83920163614316e6,0.0,5496.338091731208,-5374.590210599061,0.0
3480.0,-4.667074264963602e6,-4.892633944459335e6,0.0,5556.9606515611495,-5311.756827846828,0.0
3490.0,-4.6112045410415465e6,-4.945434493847359e6,0.0,5616.863544842866,-5248.2397966831595,0.0
3500.0,-4.5547394186697705e6,-4.997596489121037e6,0.0,5676.03906505968,-5184.04739125083,0.0
3510.0,-4.497686209712556e6,-5.049113218270518e6,0.0,5734.479601540872,-5119.187972489906,0.0
3520.0,-4.440052301657589e6,-5.099978053324653e6,0.0,5792.177640437331,-5053.66998701125,0.0
3530.0,-4.381845156642929e6,-5.150184451202018e6,0.0,5849.125765683607,-4987.501965959101,0.0
3540.0,-4.323072310474411e6,-5.199725954550521e6,0.0,5905.316659946225,-4920.692523862923,0.0
3550.0,-4.263741371633647e6,-5.248596192575466e6,0.0,5960.743105558168,-4853.250357478674,0.0
3560.0,-4.203860020276746e6,-5.2967888818559805e6,0.0,6015.397985439394,-4785.184244619685,0.0
3570.0,-4.143436007223898e6,-5.344297827149704e6,0.0,6069.2742840032715,-4716.503042977318,0.0
